hour_index,timestamp_utc,excel_time,upsets_proton_raw,upsets_proton_filled,is_missing_proton,fill_method,background_proton_gp,event_proton_sp,gcl_ratio,skl_ratio,upsets_total_nu
0,2021-01-01T00:00:00Z,44197,0.923370987759,0.923370987759,false,raw,0.923370987759,0,10.7,3,10.8034405568
1,2021-01-01T01:00:00Z,44197.0416667,1.02571109024,1.02571109024,false,raw,0.954073018503,0.0716380717367,10.7,3,11.4492066034
2,2021-01-01T02:00:00Z,44197.0833333,1.17255687465,1.17255687465,false,raw,0.984775049248,0.187781825402,10.7,3,12.2729953778
3,2021-01-01T03:00:00Z,44197.125,1.15363672046,1.15363672046,false,raw,1.01547707999,0.138159640468,10.7,3,12.4337203978
4,2021-01-01T04:00:00Z,44197.1666667,1.19426540506,1.19426540506,false,raw,1.05129621628,0.142969188776,10.7,3,12.8720424856
5,2021-01-01T05:00:00Z,44197.2083333,1.01755441499,1.01755441499,false,raw,1.02163275261,0,10.7,3,11.9531032056
6,2021-01-01T06:00:00Z,44197.25,0.953684981061,0.953684981061,false,raw,1.0047805282,0,10.7,3,11.75593218
7,2021-01-01T07:00:00Z,44197.2916667,1.05028250245,1.05028250245,false,raw,1.01837008251,0.031912419935,10.7,3,12.0425796452
8,2021-01-01T08:00:00Z,44197.3333333,1.07209323067,1.07209323067,false,raw,1.02081708509,0.05127614558,10.7,3,12.1486644779
9,2021-01-01T09:00:00Z,44197.375,0.881089476627,0.881089476627,false,raw,0.998393584811,0,10.7,3,11.6812049423
10,2021-01-01T10:00:00Z,44197.4166667,0.838853725115,0.838853725115,false,raw,0.953684981061,0,10.7,3,11.1581142784
11,2021-01-01T11:00:00Z,44197.4583333,0.730426930159,0.730426930159,false,raw,0.93246518575,0,10.7,3,10.9098426733
12,2021-01-01T12:00:00Z,44197.5,0.705586195231,0.705586195231,false,raw,0.906458383306,0,10.7,3,10.6055630847
13,2021-01-01T13:00:00Z,44197.5416667,0.733900414399,0.733900414399,false,raw,0.876865901476,0,10.7,3,10.2593310473
14,2021-01-01T14:00:00Z,44197.5833333,0.664841476727,0.664841476727,false,raw,0.847300875417,0,10.7,3,9.91342024238
15,2021-01-01T15:00:00Z,44197.625,0.644583345618,0.644583345618,false,raw,0.786377069757,0,10.7,3,9.20061171616
16,2021-01-01T16:00:00Z,44197.6666667,0.65631140469,0.65631140469,false,raw,0.733205717551,0,10.7,3,8.57850689535
17,2021-01-01T17:00:00Z,44197.7083333,0.654777704119,0.654777704119,false,raw,0.730774278583,0,10.7,3,8.55005905942
