artifact_type,strategy,window_name,target_p,risk_e,p_mission,risk_utilization,model_pass_count,rtl_observed_pass_starts,rtl_completed_passes,pass_start_delta,completed_delta,selected_mismatches,safe_mode_cycles,failures,status
five_year_model_schedule,fixed,full_2021_2025,0.01,0.00555003238058,0.00553465940419,0.552223573568,31553280,,,,,,,,model_risk_pass
five_year_model_schedule,current,full_2021_2025,0.01,0.0100502692452,0.00999993405782,0.999993372534,2547210,,,,,,,,model_risk_pass
five_year_model_schedule,delayed_1h,full_2021_2025,0.01,0.0100502366413,0.00999990177991,0.999990128469,2649330,,,,,,,,model_risk_pass
five_year_model_schedule,forecast,full_2021_2025,0.01,0.0100503025378,0.00999996701742,0.999996685112,2602620,,,,,,,,model_risk_pass
rtl_window_replay,current,quiet_background,,,,,1470,1470,1470,0,0,0,0,0,rtl_replay_pass
rtl_window_replay,delayed_1h,quiet_background,,,,,1470,1470,1470,0,0,0,0,0,rtl_replay_pass
rtl_window_replay,forecast,quiet_background,,,,,1470,1470,1470,0,0,0,0,0,rtl_replay_pass
rtl_window_replay,current,storm_rise,,,,,15270,15270,15270,0,0,0,0,0,rtl_replay_pass
rtl_window_replay,delayed_1h,storm_rise,,,,,15300,15300,15300,0,0,0,0,0,rtl_replay_pass
rtl_window_replay,forecast,storm_rise,,,,,17340,17340,17340,0,0,0,0,0,rtl_replay_pass
rtl_window_replay,current,storm_peak,,,,,105600,105600,105600,0,0,0,0,0,rtl_replay_pass
rtl_window_replay,delayed_1h,storm_peak,,,,,105300,105300,105300,0,0,0,0,0,rtl_replay_pass
rtl_window_replay,forecast,storm_peak,,,,,107460,107460,107460,0,0,0,0,0,rtl_replay_pass
rtl_window_replay,current,storm_decay,,,,,5340,5340,5340,0,0,0,0,0,rtl_replay_pass
rtl_window_replay,delayed_1h,storm_decay,,,,,5490,5490,5490,0,0,0,0,0,rtl_replay_pass
rtl_window_replay,forecast,storm_decay,,,,,5430,5430,5430,0,0,0,0,0,rtl_replay_pass
rtl_window_replay,current,tau_min_saturation,,,,,100260,100260,100260,0,0,0,0,0,rtl_replay_pass
rtl_window_replay,delayed_1h,tau_min_saturation,,,,,98520,98520,98520,0,0,0,0,0,rtl_replay_pass
rtl_window_replay,forecast,tau_min_saturation,,,,,100680,100680,100680,0,0,0,0,0,rtl_replay_pass
rtl_window_replay,current,delayed_sensitive,,,,,31800,31800,31800,0,0,0,0,0,rtl_replay_pass
rtl_window_replay,delayed_1h,delayed_sensitive,,,,,32790,32790,32790,0,0,0,0,0,rtl_replay_pass
rtl_window_replay,forecast,delayed_sensitive,,,,,32790,32790,32790,0,0,0,0,0,rtl_replay_pass
