rho_D,status,target_p,target_e,instant_e,residual_e,tau_min_seconds,e_acc_at_tau_min,p_acc_at_tau_min,risk_slack_after_tau_min,instant_utilization,tau_min_residual_utilization,schedule_risk_e,schedule_p_mission,schedule_pass_count,pass_gain_vs_tau_min,schedule_mean_tau_seconds,schedule_min_tau_seconds,schedule_max_tau_seconds,saturated_at_tau_min,saturated_at_tau_max,c_value
0,scrub_period_selectable,0.01,0.0100503358535,0,0.0100503358535,1,0.00111000681681,0.00110939098712,0.00894032903669,0,0.110444748612,0.0100502692452,0.00999993405782,2547210,61.9369427727,87.4180129609,1,120,true,false,0.18166879408
0.25,scrub_period_selectable,0.01,0.0100503358535,0.00251258396338,0.00753775189013,1,0.00111000681681,0.00110939098712,0.00642774507332,0.25,0.147259664817,0.00753773957519,0.00750940206121,3461040,45.5835240275,71.5884446878,1,120,true,false,0.127215292366
0.5,scrub_period_selectable,0.01,0.0100503358535,0.00502516792675,0.00502516792675,1,0.00111000681681,0.00110939098712,0.00391516110994,0.5,0.220889497225,0.00502492328107,0.00501231947397,5715990,27.6008880351,43.8274461482,1,120,true,false,0.0888211827142
0.75,scrub_period_selectable,0.01,0.0100503358535,0.00753775189013,0.00251258396338,1,0.00111000681681,0.00110939098712,0.00140257714656,0.75,0.44177899445,0.00251255273428,0.00250939891559,13830480,11.4071528971,17.0917761957,1,30,true,false,0.0330803356986
0.85,scrub_period_selectable,0.01,0.0100503358535,0.00854278547548,0.00150755037803,1,0.00111000681681,0.00110939098712,0.000397543561214,0.85,0.736298324083,0.00150754449619,0.0015064087218,36906120,4.27480320337,6.41664384812,1,10,true,false,0.0122728807095
0.88,scrub_period_selectable,0.01,0.0100503358535,0.00884429555108,0.00120604030242,1,0.00111000681681,0.00110939098712,9.60334856091e-05,0.88,0.920372905104,0.00120603795967,0.00120531098817,79052400,1.99571929505,2.83082329317,1,5,true,false,0.00518720618844
0.889,scrub_period_selectable,0.01,0.0100503358535,0.00893474857376,0.00111558727974,1,0.00111000681681,0.00110939098712,5.58046292762e-06,0.889,0.994997735248,0.0011155872165,0.00111496518042,140815800,1.12037427618,1.2148822563,1,2,true,false,0.00176965753227
0.8895,scrub_period_selectable,0.01,0.0100503358535,0.00893977374169,0.00111056211181,1,0.00111000681681,0.00110939098712,5.55295000872e-07,0.8895,0.999499987443,0.00111056183504,0.00110994538947,155694600,1.01330681989,1.0262641475,1,2,true,false,0.00149273601163
0.88955,scrub_period_selectable,0.01,0.0100503358535,0.00894027625848,0.00111005959502,1,0.00111000681681,0.00110939098712,5.27782081971e-08,0.88955,0.999952454617,0.00111005955928,0.00110944367108,157554000,1.00134810922,1.00269258854,1,2,true,false,0.00142642541497
0.89,bandwidth_or_tau_min_insufficient,0.01,0.0100503358535,0.00894479890962,0.00110553694389,1,0.00111000681681,0.00110939098712,-4.46987292588e-06,0.89,1.0040431692,,,,,,,,,,
0.9,bandwidth_or_tau_min_insufficient,0.01,0.0100503358535,0.00904530226815,0.00100503358535,1,0.00111000681681,0.00110939098712,-0.000104973231461,0.9,1.10444748612,,,,,,,,,,
0.95,bandwidth_or_tau_min_insufficient,0.01,0.0100503358535,0.00954781906083,0.000502516792675,1,0.00111000681681,0.00110939098712,-0.000607490024136,0.95,2.20889497225,,,,,,,,,,
0.99,bandwidth_or_tau_min_insufficient,0.01,0.0100503358535,0.00994983249497,0.000100503358535,1,0.00111000681681,0.00110939098712,-0.00100950345828,0.99,11.0444748612,,,,,,,,,,
1,architecture_change_required,0.01,0.0100503358535,0.0100503358535,0,1,0.00111000681681,0.00110939098712,-0.00111000681681,1,inf,,,,,,,,,,
