metric,value
codeword_count,1935832
codeword_bits,39
protected_bits,75497448
pipeline_overhead_cycles,4.0
target_tau_min_seconds,1.0
primary_scenario,memory_interface_limited
pass_time_seconds,0.294912515625
effective_words_per_second,6564102.564102564
effective_bits_per_second,256000000.0
tau_min_margin,3.3908360853411987
tau_min_feasible,true
controller_core_ooc_pass_time_seconds,0.01935836
controller_core_ooc_effective_words_per_second,100000000.0
controller_core_ooc_effective_bits_per_second,3900000000.0
controller_core_ooc_tau_min_margin,51.65726848761982
controller_core_ooc_tau_min_feasible,true
memory_interface_limited_pass_time_seconds,0.294912515625
memory_interface_limited_effective_words_per_second,6564102.564102564
memory_interface_limited_effective_bits_per_second,256000000.0
memory_interface_limited_tau_min_margin,3.3908360853411987
memory_interface_limited_tau_min_feasible,true
