scenario,phi,baseline_utilization,nb_penalty_e,nb_penalty_utilization,total_utilization_rare_regime,verdict
external_current_adaptive,1,0.999993372534,0,0,0.999993372534,pass
external_current_adaptive,1.04,0.999993372534,0.00312020199801,0.31045748555,1.31045085808,fail
external_current_adaptive,1.13,0.999993372534,0.0101406564935,1.00898682804,2.00898020057,fail
external_current_adaptive,2,0.999993372534,0.0780050499504,7.76143713876,8.76143051129,fail
external_current_adaptive,4,0.999993372534,0.234015149851,23.2843114163,24.2843047888,fail
external_current_adaptive,8,0.999993372534,0.546035349653,54.3300599713,55.3300533439,fail
external_current_adaptive,16,0.999993372534,1.17007574926,116.421557081,117.421550454,fail
measured_q16_high1_max3600_seed_mean,1,0.681094456074,0,0,0.681094456074,pass
measured_q16_high1_max3600_seed_mean,1.04,0.681094456074,0.00312020199801,0.31045748555,0.991551941624,pass
measured_q16_high1_max3600_seed_mean,1.13,0.681094456074,0.0101406564935,1.00898682804,1.69008128411,fail
measured_q16_high1_max3600_seed_mean,2,0.681094456074,0.0780050499504,7.76143713876,8.44253159483,fail
measured_q16_high1_max3600_seed_mean,4,0.681094456074,0.234015149851,23.2843114163,23.9654058724,fail
measured_q16_high1_max3600_seed_mean,8,0.681094456074,0.546035349653,54.3300599713,55.0111544274,fail
measured_q16_high1_max3600_seed_mean,16,0.681094456074,1.17007574926,116.421557081,117.102651537,fail
always_tau_min_1s,1,0.110444748612,0,0,0.110444748612,pass
always_tau_min_1s,1.04,0.110444748612,0.00312020199801,0.31045748555,0.420902234162,pass
always_tau_min_1s,1.13,0.110444748612,0.0101406564935,1.00898682804,1.11943157665,fail
always_tau_min_1s,2,0.110444748612,0.0780050499504,7.76143713876,7.87188188737,fail
always_tau_min_1s,4,0.110444748612,0.234015149851,23.2843114163,23.3947561649,fail
always_tau_min_1s,8,0.110444748612,0.546035349653,54.3300599713,54.4405047199,fail
always_tau_min_1s,16,0.110444748612,1.17007574926,116.421557081,116.53200183,fail
