kind,policy,scenario,burst_duration_seconds,rate_cv2,achieved_rate_cv2_mean,achieved_rate_cv2_max,seed,risk_e,p_mission,risk_utilization,target_met,pass_count,fixed_over_policy_gain,mean_tau_seconds,min_tau_seconds,max_tau_seconds,observed_corrections,high_activity_events,relax_events,max_k_per_pass,p_cache_entries
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,20260621,0.00683821987332,0.00681489245077,0.680397150205,true,6449583,4.89229768808,24.4614887505,1,600,309890,296898,276416,5,6
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,20260621,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,20260622,0.00685986299819,0.00683638784746,0.682550623003,true,6446965,4.89428436481,24.4714224445,1,600,309427,296405,276418,5,6
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,20260622,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,20260623,0.0068815061276,0.00685788278343,0.684704096252,true,6471299,4.8758804067,24.3794029607,1,600,310545,297504,277277,5,6
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,20260623,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,20260624,0.00681053680653,0.00678739766053,0.677642708244,true,6462976,4.88215955003,24.4107994521,1,600,310076,297122,277009,5,6
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,20260624,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,20260625,0.00682362335785,0.00680039530318,0.678944809141,true,6458320,4.88567924785,24.428397478,1,600,310221,297289,277070,5,6
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,20260625,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,20260626,0.00688855272286,0.00686488102931,0.685405226579,true,6469767,4.87703498441,24.3851772405,1,1200,310304,297231,277352,6,7
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,20260626,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,20260627,0.00683519990076,0.00681189305447,0.680096665464,true,6457828,4.88605147118,24.4302610723,1,600,310020,297026,277046,5,6
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,20260627,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,20260628,0.0068714395507,0.00684788519162,0.683702480282,true,6458373,4.88563915401,24.4282016539,1,600,310054,297001,277021,6,6
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,20260628,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,20260629,0.006775303823,0.0067524032008,0.674137055891,true,6456083,4.88737211092,24.4368757341,1,600,309727,296855,276656,6,7
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,20260629,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,20260630,0.00698468843056,0.00696035218765,0.694970648979,true,6455309,4.88795811324,24.4397931997,1,600,310588,297286,276990,5,6
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,20260630,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
