kind,policy,scenario,burst_duration_seconds,rate_cv2,seed,risk_e,p_mission,risk_utilization,target_met,pass_count,fixed_over_policy_gain,mean_tau_seconds,min_tau_seconds,max_tau_seconds,observed_corrections,high_activity_events,relax_events,max_k_per_pass,p_cache_entries
policy,measured_q16_high1_max3600,poisson_sanity,0,0,20260621,0.00683821987332,0.00681489245077,0.680397150205,true,6449583,4.89229768808,24.4614887505,1,600,309890,296898,276416,5,6
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,20260621,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,20260622,0.00685986299819,0.00683638784746,0.682550623003,true,6446965,4.89428436481,24.4714224445,1,600,309427,296405,276418,5,6
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,20260622,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,20260623,0.0068815061276,0.00685788278343,0.684704096252,true,6471299,4.8758804067,24.3794029607,1,600,310545,297504,277277,5,6
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,20260623,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,20260624,0.00681053680653,0.00678739766053,0.677642708244,true,6462976,4.88215955003,24.4107994521,1,600,310076,297122,277009,5,6
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,20260624,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,20260625,0.00682362335785,0.00680039530318,0.678944809141,true,6458320,4.88567924785,24.428397478,1,600,310221,297289,277070,5,6
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,20260625,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.1,300,0.1,20360621,0.00737376133116,0.00734664185154,0.733683076729,true,6415765,4.91808537252,24.5904357469,1,600,309833,295903,275428,5,6
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.1,300,0.1,20360621,0.00120647786375,0.00120575036193,0.120043536986,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.1,300,0.1,20360622,0.00734406496568,0.00731716321692,0.730728313236,true,6410700,4.9219710796,24.6098617936,1,600,309175,295334,275044,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.1,300,0.1,20360622,0.00120473700749,0.0012040116032,0.119870323246,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.1,300,0.1,20360623,0.00729725541071,0.00727069508753,0.72607080172,true,6425753,4.91044084639,24.5522134137,1,600,310068,296272,276141,5,6
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.1,300,0.1,20360623,0.00121415052652,0.00121341374399,0.120806960505,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.1,300,0.1,20360624,0.00739188114813,0.00736462838575,0.735485983342,true,6419746,4.91503557929,24.5751824138,1,600,310074,296084,275830,5,6
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.1,300,0.1,20360624,0.00121163595637,0.00121090222189,0.120556762881,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.1,300,0.1,20360625,0.00745479720726,0.00742707912688,0.741746078531,true,6406214,4.92541772723,24.6270889483,1,600,309541,295458,275121,5,6
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.1,300,0.1,20360625,0.00121318338415,0.0012124477747,0.12071073065,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.25,300,0.25,20460621,0.0081574437192,0.00812426206232,0.811658817985,true,6370624,4.95293396691,24.76467266,1,600,309846,294551,273818,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.25,300,0.25,20460621,0.0013422001758,0.00134129982801,0.133547793364,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.25,300,0.25,20460622,0.00820425328618,0.00817069024946,0.816316330695,true,6380803,4.94503278036,24.725166566,1,600,310059,294754,274369,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.25,300,0.25,20460622,0.00139023491332,0.00138926898444,0.138327209517,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.25,300,0.25,20460623,0.00808546776506,0.00805286829041,0.80449727083,true,6378126,4.94710828855,24.7355491252,1,600,309611,294494,274294,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.25,300,0.25,20460623,0.00134439236517,0.00134348907459,0.13376591437,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.25,300,0.25,20460624,0.00813781392796,0.00810479155754,0.809705670196,true,6382207,4.94394493942,24.7197325314,1,600,310335,295145,274528,5,6
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.25,300,0.25,20460624,0.00135148474252,0.00135057189829,0.134471599976,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.25,300,0.25,20460625,0.0081181841159,0.00808532064992,0.807752520338,true,6387648,4.93973368601,24.6986695259,1,600,310535,295363,274618,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.25,300,0.25,20460625,0.00133620389313,0.0013353115702,0.13295116826,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,20560621,0.00961659294295,0.0095705013793,0.956842943671,true,6306842,5.00302370029,25.015124051,1,600,310449,292821,271903,7,8
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,20560621,0.00163621145512,0.00163487359094,0.162801669414,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,20560622,0.00938959181561,0.00934564724646,0.934256521621,true,6318566,4.99374066837,24.9687035001,1,600,310638,293397,272365,7,8
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,20560622,0.00162789403078,0.00162656972999,0.161974092658,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,20560623,0.00935234548699,0.00930874832171,0.930550543118,true,6323206,4.99007623664,24.9503897232,1,600,310957,293707,272695,7,8
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,20560623,0.00161480537075,0.00161350227407,0.160671781948,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,20560624,0.00947566097763,0.00943090836721,0.942820331156,true,6317574,4.99452479702,24.9726322161,1,600,310862,293496,272611,5,6
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,20560624,0.00160790642187,0.0016066144329,0.159985342312,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,20560625,0.00942985808506,0.00938553639845,0.938262981706,true,6292676,5.01428644983,25.0714406717,1,600,309791,292467,271257,7,8
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,20560625,0.00153414569741,0.00153296949747,0.152646212005,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.75,300,0.75,20660621,0.0107677051323,0.0107099409107,1.07137764243,false,6229511,5.06512951017,25.3256497982,1,600,310274,290778,269089,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.75,300,0.75,20660621,0.00171326046363,0.00171179367071,0.17046798123,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.75,300,0.75,20660622,0.0107757584975,0.0107179079927,1.07217894552,false,6235955,5.05989539694,25.2994875685,1,600,310308,290923,269276,11,10
