strategy,window_name,start_timestamp_utc,end_timestamp_utc,hours,mission_cycles,period_updates,faults_injected,expected_passes,observed_pass_starts,completed_passes,pass_start_delta_vs_expected,completed_delta_vs_expected,reads,writes,corrected_events,detected_due_events,new_due_words,persistent_due_detections,final_uncorrectable_words,final_sdc_words,final_dangerous_words,safe_mode_cycles,selected_mismatches,failures,log_path
current,quiet_background,2025-03-28T21:00:00Z,2025-03-30T21:00:00Z,49,5644800,49,4,1470,1470,1470,0,0,11760,4,4,0,0,0,0,0,0,0,0,0,results/rtl_replay/ch3_fault_replay_current_quiet_background.log
delayed_1h,quiet_background,2025-03-28T21:00:00Z,2025-03-30T21:00:00Z,49,5644800,49,4,1470,1470,1470,0,0,11760,4,4,0,0,0,0,0,0,0,0,0,results/rtl_replay/ch3_fault_replay_delayed_1h_quiet_background.log
current,storm_rise,2024-11-20T19:00:00Z,2024-11-22T19:00:00Z,49,5644800,49,9,15270,15270,15270,0,0,122160,5,5,14909,1,14908,1,1,2,0,0,0,results/rtl_replay/ch3_fault_replay_current_storm_rise.log
delayed_1h,storm_rise,2024-11-20T19:00:00Z,2024-11-22T19:00:00Z,49,5644800,49,9,15300,15300,15300,0,0,122400,5,5,14939,1,14938,1,1,2,0,0,0,results/rtl_replay/ch3_fault_replay_delayed_1h_storm_rise.log
current,storm_peak,2025-11-11T02:00:00Z,2025-11-13T02:00:00Z,49,5644800,49,9,105600,105600,105600,0,0,844800,5,5,95757,1,95756,1,1,2,0,0,0,results/rtl_replay/ch3_fault_replay_current_storm_peak.log
delayed_1h,storm_peak,2025-11-11T02:00:00Z,2025-11-13T02:00:00Z,49,5644800,49,9,105300,105300,105300,0,0,842400,5,5,98997,1,98996,1,1,2,0,0,0,results/rtl_replay/ch3_fault_replay_delayed_1h_storm_peak.log
current,storm_decay,2025-05-31T13:00:00Z,2025-06-02T13:00:00Z,49,5644800,49,9,5340,5340,5340,0,0,42720,5,5,4319,1,4318,1,1,2,0,0,0,results/rtl_replay/ch3_fault_replay_current_storm_decay.log
delayed_1h,storm_decay,2025-05-31T13:00:00Z,2025-06-02T13:00:00Z,49,5644800,49,9,5490,5490,5490,0,0,43920,5,5,4529,1,4528,1,1,2,0,0,0,results/rtl_replay/ch3_fault_replay_delayed_1h_storm_decay.log
current,tau_min_saturation,2025-11-10T19:00:00Z,2025-11-12T19:00:00Z,49,5644800,49,9,100260,100260,100260,0,0,802080,5,5,99539,1,99538,1,1,2,0,0,0,results/rtl_replay/ch3_fault_replay_current_tau_min_saturation.log
delayed_1h,tau_min_saturation,2025-11-10T19:00:00Z,2025-11-12T19:00:00Z,49,5644800,49,9,98520,98520,98520,0,0,788160,5,5,97799,1,97798,1,1,2,0,0,0,results/rtl_replay/ch3_fault_replay_delayed_1h_tau_min_saturation.log
current,delayed_sensitive,2024-06-07T02:00:00Z,2024-06-09T02:00:00Z,49,5644800,49,9,31800,31800,31800,0,0,254400,5,5,31439,1,31438,1,1,2,0,0,0,results/rtl_replay/ch3_fault_replay_current_delayed_sensitive.log
delayed_1h,delayed_sensitive,2024-06-07T02:00:00Z,2024-06-09T02:00:00Z,49,5644800,49,9,32790,32790,32790,0,0,262320,5,5,32429,1,32428,1,1,2,0,0,0,results/rtl_replay/ch3_fault_replay_delayed_1h_delayed_sensitive.log
