window_name,event_id,cycle,physical_event_id,event_type,addr,bit_index,bit_mask_hex,multiplicity,interleave_depth
quiet_background,0,345700,38150,single_accumulation,1,7,0000000080,1,1
quiet_background,1,691300,38151,mbu_split_interleaved,2,2,0000000004,3,3
quiet_background,2,691300,38151,mbu_split_interleaved,3,3,0000000008,3,3
quiet_background,3,691300,38151,mbu_split_interleaved,4,4,0000000010,3,3
storm_rise,0,345700,35076,single_accumulation,1,7,0000000080,1,1
storm_rise,1,691300,35077,mbu_split_interleaved,2,2,0000000004,3,3
storm_rise,2,691300,35077,mbu_split_interleaved,3,3,0000000008,3,3
storm_rise,3,691300,35077,mbu_split_interleaved,4,4,0000000010,3,3
storm_rise,4,1382500,35078,mbu_same_word_due,5,3,0000000008,2,1
storm_rise,5,1382500,35078,mbu_same_word_due,5,10,0000000400,2,1
storm_rise,6,2073700,35079,triple_same_word_sdc,6,4,0000000010,3,1
storm_rise,7,2073700,35079,triple_same_word_sdc,6,5,0000000020,3,1
storm_rise,8,2073700,35079,triple_same_word_sdc,6,6,0000000040,3,1
storm_peak,0,345700,43603,single_accumulation,1,7,0000000080,1,1
storm_peak,1,691300,43604,mbu_split_interleaved,2,2,0000000004,3,3
storm_peak,2,691300,43604,mbu_split_interleaved,3,3,0000000008,3,3
storm_peak,3,691300,43604,mbu_split_interleaved,4,4,0000000010,3,3
storm_peak,4,1382500,43605,mbu_same_word_due,5,3,0000000008,2,1
storm_peak,5,1382500,43605,mbu_same_word_due,5,10,0000000400,2,1
storm_peak,6,2073700,43606,triple_same_word_sdc,6,4,0000000010,3,1
storm_peak,7,2073700,43606,triple_same_word_sdc,6,5,0000000020,3,1
storm_peak,8,2073700,43606,triple_same_word_sdc,6,6,0000000040,3,1
storm_decay,0,345700,39678,single_accumulation,1,7,0000000080,1,1
storm_decay,1,691300,39679,mbu_split_interleaved,2,2,0000000004,3,3
storm_decay,2,691300,39679,mbu_split_interleaved,3,3,0000000008,3,3
storm_decay,3,691300,39679,mbu_split_interleaved,4,4,0000000010,3,3
storm_decay,4,1382500,39680,mbu_same_word_due,5,3,0000000008,2,1
storm_decay,5,1382500,39680,mbu_same_word_due,5,10,0000000400,2,1
storm_decay,6,2073700,39681,triple_same_word_sdc,6,4,0000000010,3,1
storm_decay,7,2073700,39681,triple_same_word_sdc,6,5,0000000020,3,1
storm_decay,8,2073700,39681,triple_same_word_sdc,6,6,0000000040,3,1
tau_min_saturation,0,345700,43596,single_accumulation,1,7,0000000080,1,1
tau_min_saturation,1,691300,43597,mbu_split_interleaved,2,2,0000000004,3,3
tau_min_saturation,2,691300,43597,mbu_split_interleaved,3,3,0000000008,3,3
tau_min_saturation,3,691300,43597,mbu_split_interleaved,4,4,0000000010,3,3
tau_min_saturation,4,1382500,43598,mbu_same_word_due,5,3,0000000008,2,1
tau_min_saturation,5,1382500,43598,mbu_same_word_due,5,10,0000000400,2,1
tau_min_saturation,6,2073700,43599,triple_same_word_sdc,6,4,0000000010,3,1
tau_min_saturation,7,2073700,43599,triple_same_word_sdc,6,5,0000000020,3,1
tau_min_saturation,8,2073700,43599,triple_same_word_sdc,6,6,0000000040,3,1
delayed_sensitive,0,345700,31075,single_accumulation,1,7,0000000080,1,1
delayed_sensitive,1,691300,31076,mbu_split_interleaved,2,2,0000000004,3,3
delayed_sensitive,2,691300,31076,mbu_split_interleaved,3,3,0000000008,3,3
delayed_sensitive,3,691300,31076,mbu_split_interleaved,4,4,0000000010,3,3
delayed_sensitive,4,1382500,31077,mbu_same_word_due,5,3,0000000008,2,1
delayed_sensitive,5,1382500,31077,mbu_same_word_due,5,10,0000000400,2,1
delayed_sensitive,6,2073700,31078,triple_same_word_sdc,6,4,0000000010,3,1
delayed_sensitive,7,2073700,31078,triple_same_word_sdc,6,5,0000000020,3,1
delayed_sensitive,8,2073700,31078,triple_same_word_sdc,6,6,0000000040,3,1
