strategy,window_name,start_timestamp_utc,end_timestamp_utc,hours,mission_cycles,period_updates,expected_passes,observed_pass_starts,completed_passes,pass_start_delta_vs_expected,completed_delta_vs_expected,reads,writes,safe_mode_cycles,selected_mismatches,failures,log_path
current,quiet_background,2025-03-28T21:00:00Z,2025-03-30T21:00:00Z,49,5644800,49,1470,1470,1470,0,0,5880,0,0,0,0,results/rtl_replay/ch3_window_replay_current_quiet_background.log
delayed_1h,quiet_background,2025-03-28T21:00:00Z,2025-03-30T21:00:00Z,49,5644800,49,1470,1470,1470,0,0,5880,0,0,0,0,results/rtl_replay/ch3_window_replay_delayed_1h_quiet_background.log
current,storm_rise,2024-11-20T19:00:00Z,2024-11-22T19:00:00Z,49,5644800,49,15270,15270,15270,0,0,61080,0,0,0,0,results/rtl_replay/ch3_window_replay_current_storm_rise.log
delayed_1h,storm_rise,2024-11-20T19:00:00Z,2024-11-22T19:00:00Z,49,5644800,49,15300,15300,15300,0,0,61200,0,0,0,0,results/rtl_replay/ch3_window_replay_delayed_1h_storm_rise.log
current,storm_peak,2025-11-11T02:00:00Z,2025-11-13T02:00:00Z,49,5644800,49,105600,105600,105600,0,0,422400,0,0,0,0,results/rtl_replay/ch3_window_replay_current_storm_peak.log
delayed_1h,storm_peak,2025-11-11T02:00:00Z,2025-11-13T02:00:00Z,49,5644800,49,105300,105300,105300,0,0,421200,0,0,0,0,results/rtl_replay/ch3_window_replay_delayed_1h_storm_peak.log
current,storm_decay,2025-05-31T13:00:00Z,2025-06-02T13:00:00Z,49,5644800,49,5340,5340,5340,0,0,21360,0,0,0,0,results/rtl_replay/ch3_window_replay_current_storm_decay.log
delayed_1h,storm_decay,2025-05-31T13:00:00Z,2025-06-02T13:00:00Z,49,5644800,49,5490,5490,5490,0,0,21960,0,0,0,0,results/rtl_replay/ch3_window_replay_delayed_1h_storm_decay.log
current,tau_min_saturation,2025-11-10T19:00:00Z,2025-11-12T19:00:00Z,49,5644800,49,100260,100260,100260,0,0,401040,0,0,0,0,results/rtl_replay/ch3_window_replay_current_tau_min_saturation.log
delayed_1h,tau_min_saturation,2025-11-10T19:00:00Z,2025-11-12T19:00:00Z,49,5644800,49,98520,98520,98520,0,0,394080,0,0,0,0,results/rtl_replay/ch3_window_replay_delayed_1h_tau_min_saturation.log
current,delayed_sensitive,2024-06-07T02:00:00Z,2024-06-09T02:00:00Z,49,5644800,49,31800,31800,31800,0,0,127200,0,0,0,0,results/rtl_replay/ch3_window_replay_current_delayed_sensitive.log
delayed_1h,delayed_sensitive,2024-06-07T02:00:00Z,2024-06-09T02:00:00Z,49,5644800,49,32790,32790,32790,0,0,131160,0,0,0,0,results/rtl_replay/ch3_window_replay_delayed_1h_delayed_sensitive.log
