period_index,tau_seconds,target_p,target_e,risk_e,p_mission,risk_utilization,pass_count,allowed
0,1,0.01,0.0100503358535,0.00111000681681,0.00110939098712,0.110444748612,157766400,true
1,2,0.01,0.0100503358535,0.00222001349269,0.00221755108526,0.220889483202,78883200,true
2,5,0.01,0.0100503358535,0.00555003238058,0.00553465940419,0.552223573568,31553280,true
3,10,0.01,0.0100503358535,0.0111000582969,0.0110386799607,1.10444650394,15776640,false
4,30,0.01,0.0100503358535,0.0333000238058,0.0327516814701,3.31332447902,5258880,false
5,60,0.01,0.0100503358535,0.0665991533052,0.064429853615,6.6265599753,2629440,false
6,120,0.01,0.0100503358535,0.133191554349,0.124702590976,13.2524481062,1314720,false
7,300,0.01,0.0100503358535,0.332864799659,0.283132891718,33.1197687829,525888,false
8,600,0.01,0.0100503358535,0.664927896721,0.485689390149,66.1597688289,262944,false
9,1200,0.01,0.0100503358535,1.32353502259,0.733807360214,131.690626252,131472,false
10,1800,0.01,0.0100503358535,1.96981526781,0.860517379235,195.994969375,87648,false
11,3600,0.01,0.0100503358535,2.81431573191,0.940054276345,280.022058261,43824,false
