strategy_key,period_index,tau_seconds,hours,fraction
fixed,0,1,0,0
fixed,1,2,0,0
fixed,2,5,43824,1
fixed,3,10,0,0
fixed,4,30,0,0
fixed,5,60,0,0
fixed,6,120,0,0
fixed,7,300,0,0
fixed,8,600,0,0
fixed,9,1200,0,0
fixed,10,1800,0,0
fixed,11,3600,0,0
current,0,1,30,0.000684556407448
current,1,2,41,0.000935560423512
current,2,5,65,0.00148320554947
current,3,10,221,0.0050428988682
current,4,30,5360,0.122307411464
current,5,60,15088,0.344286235853
current,6,120,23019,0.525260131435
current,7,300,0,0
current,8,600,0,0
current,9,1200,0,0
current,10,1800,0,0
current,11,3600,0,0
delayed_1h,0,1,30,0.000684556407448
delayed_1h,1,2,47,0.001072471705
delayed_1h,2,5,61,0.00139193136181
delayed_1h,3,10,234,0.00533953997809
delayed_1h,4,30,6370,0.145354143848
delayed_1h,5,60,15057,0.343578860898
delayed_1h,6,120,22025,0.502578495801
delayed_1h,7,300,0,0
delayed_1h,8,600,0,0
delayed_1h,9,1200,0,0
delayed_1h,10,1800,0,0
delayed_1h,11,3600,0,0
forecast,0,1,33,0.000753012048193
forecast,1,2,45,0.00102683461117
forecast,2,5,66,0.00150602409639
forecast,3,10,235,0.00536235852501
forecast,4,30,5723,0.130590543994
forecast,5,60,15076,0.34401241329
forecast,6,120,22646,0.516748813436
forecast,7,300,0,0
forecast,8,600,0,0
forecast,9,1200,0,0
forecast,10,1800,0,0
forecast,11,3600,0,0
