family,variant_key,mode,lag_hours,hold_hours,estimate_age_hours,phase_hours,aggregate,c_value,risk_e,p_mission,risk_utilization,pass_count,gain_fixed_over_strategy,mean_tau_seconds,min_tau_seconds,max_tau_seconds,saturated_at_tau_min,saturated_at_tau_max,max_q_per_pass,max_hourly_risk_contribution_e,max_hourly_budget_fraction,verdict,note
age,age_L1,reoptimized,1,,,,raw,0.173482454693,0.0100502366413,0.00999990177991,0.999990128469,2649330,11.9099092978,85.3479600219,1,120,true,false,1.5857615866e-06,0.000190291390393,0.01893383397,pass,
age,age_L1,frozen_1h,1,,,,raw,0.173482454693,0.0100502366413,0.00999990177991,0.999990128469,2649330,11.9099092978,85.3479600219,1,120,true,false,1.5857615866e-06,0.000190291390393,0.01893383397,pass,
age,age_L3,reoptimized,3,,,,raw,0.098553981458,0.00993062679251,0.00988148093586,0.988089048691,4883490,6.46121523746,52.6998676524,1,120,true,false,1.6454089712e-05,0.000987245382719,0.0982300887363,pass,
age,age_L3,frozen_1h,3,,,,raw,0.173482454693,0.0175293162739,0.0173765716147,1.74415228798,2649510,11.9091001732,85.3438526835,1,120,true,false,6.58145605785e-05,0.00197443681735,0.196454809683,fail,
age,age_L6,reoptimized,6,,,,raw,0.0522626252855,0.00990773824928,0.00985881830598,0.985811657809,9462300,3.33463111506,27.9275511135,1,60,true,false,7.0254007458e-06,0.000843048089497,0.0838825788297,pass,
age,age_L6,frozen_1h,6,,,,raw,0.173482454693,0.0288527839412,0.028440516903,2.87082783717,2649780,11.9078866925,85.3376916758,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
age,age_L12,reoptimized,12,,,,raw,0.0478384733369,0.00988466725966,0.00983597450553,0.983516113664,10356360,3.04675387878,23.6290160643,1,60,true,false,6.25216210712e-06,0.000750259452854,0.0746501871968,pass,
age,age_L12,frozen_1h,12,,,,raw,0.173482454693,0.0378423358011,0.0371352617781,3.76528071825,2650320,11.9054604727,85.3253696605,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
age,age_L24,reoptimized,24,,,,raw,0.0253763140643,0.0100501297767,0.00999979598397,0.999979495534,18444600,1.71070557236,12.025031946,1,30,true,false,2.76819958185e-06,0.000996551849466,0.0991560743832,pass,
age,age_L24,frozen_1h,24,,,,raw,0.173482454693,0.0687686116805,0.0664573340424,6.84241926667,2651400,11.900610998,85.3007256298,1,120,true,false,9.9649817583e-05,0.00597898905498,0.594904403408,fail,
session,session_U6_A1_P0,reoptimized,,6,1,0,raw,0.0965521243532,0.0100384899878,0.00998827252352,0.998821346287,5001660,6.30856155756,50.6022727273,1,120,true,false,1.85135397007e-05,0.00111081238204,0.110524901678,pass,
session,session_U6_A1_P1,reoptimized,,6,1,1,raw,0.091625904616,0.0100501872719,0.00999985290419,0.999985216253,5472960,5.76530433257,46.0016429354,1,120,true,false,1.85135397007e-05,0.00111081238204,0.110524901678,pass,
session,session_U6_A1_P2,reoptimized,,6,1,2,raw,0.0625329558338,0.0100475201823,0.0099972124816,0.999719843076,8208960,3.84376096363,33.9502099306,1,60,true,false,1.85135397007e-05,0.00111081238204,0.110524901678,pass,
