metric,value
input_xlsx_sha256,06e042e70dd305e83ba78bfe291551ee32644bd3fd04d15c2e3d6fadbe2145dd
hour_count,43824
valid_proton_count,43676
missing_proton_count,148
missing_interval_count,8
start_timestamp_utc,2021-01-01T00:00:00Z
end_timestamp_utc,2025-12-31T23:00:00Z
proton_filled_sum,36885.4393475
proton_filled_mean,0.841672128228
proton_filled_median,0.487968781583
proton_filled_max,298.004011907
proton_filled_cv2,26.957396267
proton_filled_eta_const,27.957396267
background_gp_mean,0.468836172538
event_sp_mean,0.39684601895
total_nu_sum,309956.953914
total_nu_mean,7.07276729449
total_nu_median,5.17307697509
total_nu_max,1193.96354958
total_nu_cv2,6.24295991773
total_nu_eta_const,7.24295991773
positive_log_growth_q99,0.102066047052
positive_growth_factor_q99,1.26492870188
max_growth_factor,23.9692217536
max_log_growth,1.37965393334
missing_interval_0_start,2021-03-10T16:00:00Z
missing_interval_0_end,2021-03-15T18:00:00Z
missing_interval_0_length_hours,123
missing_interval_1_start,2021-03-23T14:00:00Z
missing_interval_1_end,2021-03-23T19:00:00Z
missing_interval_1_length_hours,6
missing_interval_2_start,2021-04-29T21:00:00Z
missing_interval_2_end,2021-04-29T22:00:00Z
missing_interval_2_length_hours,2
missing_interval_3_start,2021-06-11T19:00:00Z
missing_interval_3_end,2021-06-11T21:00:00Z
missing_interval_3_length_hours,3
missing_interval_4_start,2021-06-29T13:00:00Z
missing_interval_4_end,2021-06-29T18:00:00Z
missing_interval_4_length_hours,6
missing_interval_5_start,2021-11-24T03:00:00Z
missing_interval_5_end,2021-11-24T06:00:00Z
missing_interval_5_length_hours,4
missing_interval_6_start,2025-11-25T02:00:00Z
missing_interval_6_end,2025-11-25T03:00:00Z
missing_interval_6_length_hours,2
missing_interval_7_start,2025-12-23T20:00:00Z
missing_interval_7_end,2025-12-23T21:00:00Z
missing_interval_7_length_hours,2
check_mean_total_relative_error,0.000391413647726
check_mean_total_within_tolerance,true
check_cv2_total_relative_error,0.000474345790182
check_cv2_total_within_tolerance,true
check_eta_const_relative_error,0.000408828415847
check_eta_const_within_tolerance,true
