policy,seed,target_e,risk_e,p_mission,risk_utilization,target_met,pass_count,mean_tau_seconds,min_tau_seconds,max_tau_seconds,observed_corrections,high_activity_events,relax_events,q_cache_entries
measured_q8_high1_max120,20260650,0.0100503358535,0.0108009932231,0.0107428719399,1.07468977958,false,3587449,43.9773256707,1,120,310242,289887,309731,174406
measured_q8_high1_max120,20260651,0.0100503358535,0.0108401233666,0.0107815809559,1.07858319608,false,3583487,44.0259727467,1,120,309706,289820,309334,174679
measured_q8_high1_max120,20260652,0.0100503358535,0.0108060888783,0.0107479128403,1.07519679301,false,3589495,43.9522721163,1,120,310409,290223,309617,174648
measured_q8_high1_max120,20260653,0.0100503358535,0.0108407660183,0.0107822166786,1.07864713939,false,3581805,44.0466354254,1,120,309657,289599,309115,174517
measured_q8_high1_max120,20260654,0.0100503358535,0.0107785197924,0.0107206396885,1.07245369204,false,3586110,43.9937514466,1,120,310257,289944,309498,174524
measured_q8_high1_max120,20260655,0.0100503358535,0.0108054764441,0.0107473069883,1.07513585631,false,3590093,43.9449368025,1,120,310399,290196,309671,174498
measured_q8_high1_max120,20260656,0.0100503358535,0.0108235981769,0.0107652337988,1.07693895355,false,3580577,44.0617308328,1,120,308883,288971,309104,174330
measured_q8_high1_max120,20260657,0.0100503358535,0.0108033727768,0.0107452259275,1.07492654318,false,3585908,43.9962246661,1,120,309524,289451,309706,174373
measured_q8_high1_max120,20260658,0.0100503358535,0.0108055803704,0.0107474097976,1.07514619689,false,3588102,43.9693512057,1,120,310034,290062,309640,174882
measured_q8_high1_max120,20260659,0.0100503358535,0.0108119211676,0.0107536824278,1.07577710091,false,3583717,44.0231416153,1,120,309578,289595,309569,174397
measured_q8_high1_max120,20260660,0.0100503358535,0.0108068337717,0.0107486497273,1.07527090927,false,3592815,43.9116478305,1,120,310569,290347,309974,174617
measured_q8_high1_max120,20260661,0.0100503358535,0.010806404049,0.0107482246235,1.07522815223,false,3592163,43.9196431231,1,120,310524,290183,310357,174871
measured_q8_high1_max120,20260662,0.0100503358535,0.0108257615906,0.0107673739205,1.0771542114,false,3584546,44.0129480832,1,120,310006,289784,309416,174418
measured_q8_high1_max120,20260663,0.0100503358535,0.0107883871552,0.0107304012187,1.07343548638,false,3592663,43.9135307152,1,120,310812,290498,310039,174757
measured_q8_high1_max120,20260664,0.0100503358535,0.0108356901991,0.0107771955753,1.07814209964,false,3580003,44.0687943558,1,120,309339,289083,309224,174276
