run_key,flow,top,addr_width,depth,protected_bits,due_tracker_entries,period_ticks,wires,wire_bits,public_wires,public_wire_bits,memories,memory_bits,processes,cells,ff_estimate,lut_estimate,mux_estimate,log_path,chparams
period_scheduler_ch3_period_table,generic_yosys,period_scheduler,21,1935832,75497448,16,1 2 5 10 30 60 120 300 600 1200 1800 3600,418,1960,25,294,0,0,0,1528,167,0,308,results/synthesis/logs/generic_yosys_period_scheduler_ch3_period_table.log,PERIOD_INDEX_WIDTH=4;PERIOD0_CYCLES=1;PERIOD1_CYCLES=2;PERIOD2_CYCLES=5;PERIOD3_CYCLES=10;PERIOD4_CYCLES=30;PERIOD5_CYCLES=60;PERIOD6_CYCLES=120;PERIOD7_CYCLES=300;PERIOD8_CYCLES=600;PERIOD9_CYCLES=1200;PERIOD10_CYCLES=1800;PERIOD11_CYCLES=3600;SAFE_PERIOD_INDEX=0;MAX_CONTROL_AGE_CYCLES=7200
scrub_pass_engine_ch4_geometry,generic_yosys,scrub_pass_engine,21,1935832,75497448,16,1 2 5 10 30 60 120 300 600 1200 1800 3600,442,6500,34,562,0,0,0,1702,188,0,551,results/synthesis/logs/generic_yosys_scrub_pass_engine_ch4_geometry.log,ADDR_WIDTH=21;DEPTH=1935832
diagnostic_supervisor_ch4_geometry,generic_yosys,diagnostic_supervisor,21,1935832,75497448,16,1 2 5 10 30 60 120 300 600 1200 1800 3600,835,5339,40,646,0,0,0,4775,548,0,2444,results/synthesis/logs/generic_yosys_diagnostic_supervisor_ch4_geometry.log,ADDR_WIDTH=21;DEPTH=1935832;DUE_TRACKER_ENTRIES=16
adaptive_scrub_controller_ch4_geometry,generic_yosys,adaptive_scrub_controller,21,1935832,75497448,16,1 2 5 10 30 60 120 300 600 1200 1800 3600,1596,12013,137,2045,0,0,0,5743,903,0,1070,results/synthesis/logs/generic_yosys_adaptive_scrub_controller_ch4_geometry.log,ADDR_WIDTH=21;DEPTH=1935832;PERIOD_INDEX_WIDTH=4;PERIOD0_CYCLES=1;PERIOD1_CYCLES=2;PERIOD2_CYCLES=5;PERIOD3_CYCLES=10;PERIOD4_CYCLES=30;PERIOD5_CYCLES=60;PERIOD6_CYCLES=120;PERIOD7_CYCLES=300;PERIOD8_CYCLES=600;PERIOD9_CYCLES=1200;PERIOD10_CYCLES=1800;PERIOD11_CYCLES=3600;SAFE_PERIOD_INDEX=0;MAX_CONTROL_AGE_CYCLES=7200;DIAG_DUE_TRACKER_ENTRIES=16
measured_error_scrub_controller_ch4_geometry,generic_yosys,measured_error_scrub_controller,21,1935832,75497448,16,1 2 5 10 30 60 120 300 600 1200 1800 3600,1999,14850,199,2894,0,0,0,7046,1007,0,1610,results/synthesis/logs/generic_yosys_measured_error_scrub_controller_ch4_geometry.log,ADDR_WIDTH=21;DEPTH=1935832;PERIOD_INDEX_WIDTH=4;PERIOD0_CYCLES=1;PERIOD1_CYCLES=2;PERIOD2_CYCLES=5;PERIOD3_CYCLES=10;PERIOD4_CYCLES=30;PERIOD5_CYCLES=60;PERIOD6_CYCLES=120;PERIOD7_CYCLES=300;PERIOD8_CYCLES=600;PERIOD9_CYCLES=1200;PERIOD10_CYCLES=1800;PERIOD11_CYCLES=3600;SAFE_PERIOD_INDEX=0;MAX_CONTROL_AGE_CYCLES=7200;DIAG_DUE_TRACKER_ENTRIES=16
period_scheduler_ch3_period_table,xilinx_xc7,period_scheduler,21,1935832,75497448,16,1 2 5 10 30 60 120 300 600 1200 1800 3600,328,1257,22,226,0,0,0,731,167,169,10,results/synthesis/logs/xilinx_xc7_period_scheduler_ch3_period_table.log,PERIOD_INDEX_WIDTH=4;PERIOD0_CYCLES=1;PERIOD1_CYCLES=2;PERIOD2_CYCLES=5;PERIOD3_CYCLES=10;PERIOD4_CYCLES=30;PERIOD5_CYCLES=60;PERIOD6_CYCLES=120;PERIOD7_CYCLES=300;PERIOD8_CYCLES=600;PERIOD9_CYCLES=1200;PERIOD10_CYCLES=1800;PERIOD11_CYCLES=3600;SAFE_PERIOD_INDEX=0;MAX_CONTROL_AGE_CYCLES=7200
scrub_pass_engine_ch4_geometry,xilinx_xc7,scrub_pass_engine,21,1935832,75497448,16,1 2 5 10 30 60 120 300 600 1200 1800 3600,389,1910,29,557,0,0,0,943,188,188,34,results/synthesis/logs/xilinx_xc7_scrub_pass_engine_ch4_geometry.log,ADDR_WIDTH=21;DEPTH=1935832
diagnostic_supervisor_ch4_geometry,xilinx_xc7,diagnostic_supervisor,21,1935832,75497448,16,1 2 5 10 30 60 120 300 600 1200 1800 3600,1247,2999,36,608,0,0,0,2253,548,659,195,results/synthesis/logs/xilinx_xc7_diagnostic_supervisor_ch4_geometry.log,ADDR_WIDTH=21;DEPTH=1935832;DUE_TRACKER_ENTRIES=16
adaptive_scrub_controller_ch4_geometry,xilinx_xc7,adaptive_scrub_controller,21,1935832,75497448,16,1 2 5 10 30 60 120 300 600 1200 1800 3600,1750,6273,126,1966,0,0,0,3636,903,850,145,results/synthesis/logs/xilinx_xc7_adaptive_scrub_controller_ch4_geometry.log,ADDR_WIDTH=21;DEPTH=1935832;PERIOD_INDEX_WIDTH=4;PERIOD0_CYCLES=1;PERIOD1_CYCLES=2;PERIOD2_CYCLES=5;PERIOD3_CYCLES=10;PERIOD4_CYCLES=30;PERIOD5_CYCLES=60;PERIOD6_CYCLES=120;PERIOD7_CYCLES=300;PERIOD8_CYCLES=600;PERIOD9_CYCLES=1200;PERIOD10_CYCLES=1800;PERIOD11_CYCLES=3600;SAFE_PERIOD_INDEX=0;MAX_CONTROL_AGE_CYCLES=7200;DIAG_DUE_TRACKER_ENTRIES=16
measured_error_scrub_controller_ch4_geometry,xilinx_xc7,measured_error_scrub_controller,21,1935832,75497448,16,1 2 5 10 30 60 120 300 600 1200 1800 3600,2113,7837,186,2751,0,0,0,4113,1007,979,190,results/synthesis/logs/xilinx_xc7_measured_error_scrub_controller_ch4_geometry.log,ADDR_WIDTH=21;DEPTH=1935832;PERIOD_INDEX_WIDTH=4;PERIOD0_CYCLES=1;PERIOD1_CYCLES=2;PERIOD2_CYCLES=5;PERIOD3_CYCLES=10;PERIOD4_CYCLES=30;PERIOD5_CYCLES=60;PERIOD6_CYCLES=120;PERIOD7_CYCLES=300;PERIOD8_CYCLES=600;PERIOD9_CYCLES=1200;PERIOD10_CYCLES=1800;PERIOD11_CYCLES=3600;SAFE_PERIOD_INDEX=0;MAX_CONTROL_AGE_CYCLES=7200;DIAG_DUE_TRACKER_ENTRIES=16
