flow,top,wires,wire_bits,public_wires,public_wire_bits,memories,memory_bits,processes,cells,ff_estimate,lut_estimate,mux_estimate,log_path
generic_yosys,secded_32_39_encoder,0,0,0,0,0,0,0,0,0,0,0,results/synthesis/logs/generic_yosys_secded_32_39_encoder.log
generic_yosys,secded_32_39_decoder,0,0,0,0,0,0,0,0,0,0,0,results/synthesis/logs/generic_yosys_secded_32_39_decoder.log
generic_yosys,period_scheduler,0,0,0,0,0,0,0,0,0,0,0,results/synthesis/logs/generic_yosys_period_scheduler.log
generic_yosys,scrub_pass_engine,0,0,0,0,0,0,0,0,0,0,0,results/synthesis/logs/generic_yosys_scrub_pass_engine.log
generic_yosys,adaptive_scrub_controller,0,0,0,0,0,0,0,0,0,0,0,results/synthesis/logs/generic_yosys_adaptive_scrub_controller.log
xilinx_xc7,secded_32_39_encoder,0,0,0,0,0,0,0,0,0,0,0,results/synthesis/logs/xilinx_xc7_secded_32_39_encoder.log
xilinx_xc7,secded_32_39_decoder,0,0,0,0,0,0,0,0,0,0,0,results/synthesis/logs/xilinx_xc7_secded_32_39_decoder.log
xilinx_xc7,period_scheduler,0,0,0,0,0,0,0,0,0,0,0,results/synthesis/logs/xilinx_xc7_period_scheduler.log
xilinx_xc7,scrub_pass_engine,0,0,0,0,0,0,0,0,0,0,0,results/synthesis/logs/xilinx_xc7_scrub_pass_engine.log
xilinx_xc7,adaptive_scrub_controller,0,0,0,0,0,0,0,0,0,0,0,results/synthesis/logs/xilinx_xc7_adaptive_scrub_controller.log
