run_key,top,part,period_ns,target_mhz,return_code,timing_met,wns_ns,lut,ff,bram,dsp,power_w,log_path,util_path,timing_path,power_path
period_scheduler_100p000MHz,period_scheduler,xc7a200tfbg484-2,10.000000,100.000000,0,true,4.600,195,148,0,0,0.124,results/vivado_ooc/runs/period_scheduler_100p000MHz/period_scheduler.log,results/vivado_ooc/runs/period_scheduler_100p000MHz/util_period_scheduler.rpt,results/vivado_ooc/runs/period_scheduler_100p000MHz/timing_period_scheduler.rpt,results/vivado_ooc/runs/period_scheduler_100p000MHz/power_period_scheduler.rpt
period_scheduler_133p333MHz,period_scheduler,xc7a200tfbg484-2,7.500000,133.333333,0,true,2.366,195,148,0,0,0.125,results/vivado_ooc/runs/period_scheduler_133p333MHz/period_scheduler.log,results/vivado_ooc/runs/period_scheduler_133p333MHz/util_period_scheduler.rpt,results/vivado_ooc/runs/period_scheduler_133p333MHz/timing_period_scheduler.rpt,results/vivado_ooc/runs/period_scheduler_133p333MHz/power_period_scheduler.rpt
period_scheduler_200p000MHz,period_scheduler,xc7a200tfbg484-2,5.000000,200.000000,0,true,0.419,196,148,0,0,0.126,results/vivado_ooc/runs/period_scheduler_200p000MHz/period_scheduler.log,results/vivado_ooc/runs/period_scheduler_200p000MHz/util_period_scheduler.rpt,results/vivado_ooc/runs/period_scheduler_200p000MHz/timing_period_scheduler.rpt,results/vivado_ooc/runs/period_scheduler_200p000MHz/power_period_scheduler.rpt
period_scheduler_250p000MHz,period_scheduler,xc7a200tfbg484-2,4.000000,250.000000,0,false,-0.273,199,148,0,0,0.128,results/vivado_ooc/runs/period_scheduler_250p000MHz/period_scheduler.log,results/vivado_ooc/runs/period_scheduler_250p000MHz/util_period_scheduler.rpt,results/vivado_ooc/runs/period_scheduler_250p000MHz/timing_period_scheduler.rpt,results/vivado_ooc/runs/period_scheduler_250p000MHz/power_period_scheduler.rpt
period_scheduler_300p030MHz,period_scheduler,xc7a200tfbg484-2,3.333000,300.030003,0,false,-0.963,199,148,0,0,0.129,results/vivado_ooc/runs/period_scheduler_300p030MHz/period_scheduler.log,results/vivado_ooc/runs/period_scheduler_300p030MHz/util_period_scheduler.rpt,results/vivado_ooc/runs/period_scheduler_300p030MHz/timing_period_scheduler.rpt,results/vivado_ooc/runs/period_scheduler_300p030MHz/power_period_scheduler.rpt
scrub_pass_engine_100p000MHz,scrub_pass_engine,xc7a200tfbg484-2,10.000000,100.000000,0,true,5.367,116,188,0,0,0.126,results/vivado_ooc/runs/scrub_pass_engine_100p000MHz/scrub_pass_engine.log,results/vivado_ooc/runs/scrub_pass_engine_100p000MHz/util_scrub_pass_engine.rpt,results/vivado_ooc/runs/scrub_pass_engine_100p000MHz/timing_scrub_pass_engine.rpt,results/vivado_ooc/runs/scrub_pass_engine_100p000MHz/power_scrub_pass_engine.rpt
scrub_pass_engine_133p333MHz,scrub_pass_engine,xc7a200tfbg484-2,7.500000,133.333333,0,true,3.165,116,188,0,0,0.127,results/vivado_ooc/runs/scrub_pass_engine_133p333MHz/scrub_pass_engine.log,results/vivado_ooc/runs/scrub_pass_engine_133p333MHz/util_scrub_pass_engine.rpt,results/vivado_ooc/runs/scrub_pass_engine_133p333MHz/timing_scrub_pass_engine.rpt,results/vivado_ooc/runs/scrub_pass_engine_133p333MHz/power_scrub_pass_engine.rpt
scrub_pass_engine_200p000MHz,scrub_pass_engine,xc7a200tfbg484-2,5.000000,200.000000,0,true,1.011,116,188,0,0,0.130,results/vivado_ooc/runs/scrub_pass_engine_200p000MHz/scrub_pass_engine.log,results/vivado_ooc/runs/scrub_pass_engine_200p000MHz/util_scrub_pass_engine.rpt,results/vivado_ooc/runs/scrub_pass_engine_200p000MHz/timing_scrub_pass_engine.rpt,results/vivado_ooc/runs/scrub_pass_engine_200p000MHz/power_scrub_pass_engine.rpt
scrub_pass_engine_250p000MHz,scrub_pass_engine,xc7a200tfbg484-2,4.000000,250.000000,0,true,0.749,117,188,0,0,0.132,results/vivado_ooc/runs/scrub_pass_engine_250p000MHz/scrub_pass_engine.log,results/vivado_ooc/runs/scrub_pass_engine_250p000MHz/util_scrub_pass_engine.rpt,results/vivado_ooc/runs/scrub_pass_engine_250p000MHz/timing_scrub_pass_engine.rpt,results/vivado_ooc/runs/scrub_pass_engine_250p000MHz/power_scrub_pass_engine.rpt
scrub_pass_engine_300p030MHz,scrub_pass_engine,xc7a200tfbg484-2,3.333000,300.030003,0,true,0.445,119,188,0,0,0.134,results/vivado_ooc/runs/scrub_pass_engine_300p030MHz/scrub_pass_engine.log,results/vivado_ooc/runs/scrub_pass_engine_300p030MHz/util_scrub_pass_engine.rpt,results/vivado_ooc/runs/scrub_pass_engine_300p030MHz/timing_scrub_pass_engine.rpt,results/vivado_ooc/runs/scrub_pass_engine_300p030MHz/power_scrub_pass_engine.rpt
adaptive_scrub_controller_100p000MHz,adaptive_scrub_controller,xc7a200tfbg484-2,10.000000,100.000000,0,true,3.049,534,884,0,0,0.137,results/vivado_ooc/runs/adaptive_scrub_controller_100p000MHz/adaptive_scrub_controller.log,results/vivado_ooc/runs/adaptive_scrub_controller_100p000MHz/util_adaptive_scrub_controller.rpt,results/vivado_ooc/runs/adaptive_scrub_controller_100p000MHz/timing_adaptive_scrub_controller.rpt,results/vivado_ooc/runs/adaptive_scrub_controller_100p000MHz/power_adaptive_scrub_controller.rpt
